geolocation_city                   geolocation_lat  geolocation_lng
                                   -23.673327       -46.548335           3
cascavel                           -24.950385       -53.469652           3
                                   -24.966038       -53.474824           3
                                   -24.962426       -53.455592           3
                                   -24.967795       -53.484845           3
aracruz                            -19.825267       -40.268629           3
taubate                            -23.040710       -45.577055           3
                                   -23.026487       -45.572598           3
                                   -23.007538       -45.522388           3
                                   -23.038945       -45.607038           3
                                   -23.027439       -45.565003           3
santo andre                        -23.667125       -46.549264           3
                                   -23.670774       -46.524291           3
                                   -23.658491       -46.527189           3
                                   -23.651460       -46.539356           3
cruzeiro do sul                    -7.611491        -72.678886           3
                                   -7.624877        -72.655248           3
santo andre                        -23.668333       -46.544297           3
tatui                              -23.348510       -47.846717           3
                                   -23.347405       -47.847372           3
araguari                           -18.637588       -48.179055           3
santo andre                        -23.665137       -46.534556           3
                                   -23.674062       -46.542532           3
                                   -23.657522       -46.540118           3
                                   -23.665644       -46.525240           3
taubate                            -23.030312       -45.554740           3
                                   -23.002047       -45.530066           3
                                   -23.025489       -45.560339           3
                                   -23.011996       -45.576958           3
                                   -23.016093       -45.565837           3
aracoiaba                          -7.785506        -35.084715           3
araci                              -11.335899       -38.964643           3
santo andre                        -23.660261       -46.527492           3
                                   -23.667377       -46.527123           3
taubate                            -23.016008       -45.568877           3
                                   -23.031561       -45.568691           3
aracruz                            -19.836848       -40.270272           3
taubate                            -23.036019       -45.579976           3
                                   -23.034640       -45.581860           3
                                   -23.022682       -45.608330           3
                                   -23.038580       -45.564977           3
                                   -23.015017       -45.529866           3
                                   -23.032020       -45.558207           3
santo andre                        -23.633492       -46.511590           3
                                   -23.625733       -46.530003           3
                                   -23.637922       -46.524563           3
                                   -23.641348       -46.506625           3
                                   -23.654422       -46.529131           3
                                   -23.731081       -46.477803           3
                                   -23.647819       -46.539288           3
                                   -23.655642       -46.536861           3
                                   -23.662606       -46.533036           3
                                   -23.665772       -46.528975           3
nilopolis                          -22.807747       -43.429277           3
                                   -22.819200       -43.426500           3
navegantes                         -26.869988       -48.686653           3
itupeva                            -23.162773       -47.042338           3
nilópolis                          -22.815880       -43.418993           3
iturama                            -19.728176       -50.201660           3
telemaco borba                     -24.338958       -50.615427           3
taubaté                            -23.016875       -45.544388           3
                                   -23.047083       -45.516382           3
teixeira de freitas                -17.540055       -39.742087           3
                                   -17.541181       -39.728195           3
                                   -17.528384       -39.764269           3
itumbiara                          -18.411433       -49.201417           3
                                   -18.420040       -49.226759           3
                                   -18.414244       -49.220230           3
taubate                            -23.023570       -45.604206           3
aracatuba                          -21.208452       -50.440457           3
navegantes                         -26.897663       -48.645483           3
nazare paulista                    -23.169396       -46.412560           3
natividade                         -21.043031       -41.971434           3
aracatuba                          -21.229452       -50.416357           3
                                   -21.217632       -50.473225           3
                                   -21.220324       -50.433069           3
                                   -21.208585       -50.424687           3
nioaque                            -21.164477       -55.824224           3
ituverava                          -20.335947       -47.784178           3
                                   -20.334005       -47.789439           3
nilopolis                          -22.816926       -43.431066           3
                                   -22.807044       -43.418034           3
                                   -22.822692       -43.420064           3
                                   -22.812759       -43.391981           3
telemaco borba                     -24.333387       -50.650588           3
tenente portela                    -27.370141       -53.758088           3
natal                              -5.753601        -35.225568           3
                                   -5.818659        -35.212457           3
                                   -5.866637        -35.190951           3
                                   -5.844706        -35.215190           3
                                   -5.879670        -35.197258           3
                                   -5.817616        -35.208885           3
                                   -5.838360        -35.215977           3
                                   -5.794323        -35.206281           3
                                   -5.819450        -35.237905           3
aracati                            -4.554348        -37.767340           3
                                   -4.575018        -37.765349           3
jaboatao dos guararapes            -8.199822        -34.918646           3
aracatuba                          -21.209451       -50.444462           3
                                   -21.205132       -50.426406           3
                                   -21.118507       -50.416294           3
natal                              -5.795801        -35.207050           3
                                   -5.806260        -35.206042           3
                                   -5.795464        -35.215745           3
teofilo otoni                      -17.867647       -41.511258           3
                                   -17.870760       -41.508311           3
                                   -17.868748       -41.489209           3
                                   -17.883723       -41.508192           3
                                   -17.848560       -41.515303           3
natal                              -5.825343        -35.211286           3
                                   -5.786427        -35.200923           3
                                   -5.863775        -35.192442           3
                                   -5.825589        -35.206723           3
jaboatao dos guararapes            -8.158825        -34.930015           3
                                   -8.123476        -34.959020           3
natal                              -5.818951        -35.216331           3
aracariguama                       -23.439321       -47.061139           3
teresina                           -5.064617        -42.785616           3
                                   -5.078264        -42.792842           3
                                   -5.072596        -42.783382           3
                                   -5.063081        -42.773175           3
                                   -5.113481        -42.752681           3
natal                              -5.873943        -35.227490           3
                                   -5.793435        -35.204583           3
                                   -5.842547        -35.211127           3
                                   -5.816561        -35.245865           3
nao-me-toque                       -28.466262       -52.825617           3
teresina                           -5.103533        -42.788820           3
                                   -5.066632        -42.767668           3
                                   -5.106818        -42.743841           3
                                   -5.053023        -42.794846           3
                                   -5.052948        -42.794889           3
                                   -5.085682        -42.797100           3
nanuque                            -17.838035       -40.350859           3
muriaé                             -21.146472       -42.368795           3
mutum                              -19.819310       -41.435692           3
nao-me-toque                       -28.466970       -52.814432           3
teresina                           -5.080628        -42.791340           3
                                   -5.079543        -42.793427           3
                                   -5.080877        -42.819395           3
                                   -4.921596        -42.747264           3
                                   -5.101345        -42.810274           3
                                   -5.077491        -42.791181           3
                                   -5.066639        -42.796097           3
                                   -5.069311        -42.758128           3
                                   -5.073502        -42.786850           3
                                   -5.072977        -42.797750           3
                                   -5.117269        -42.789085           3
                                   -5.083848        -42.781680           3
munhoz de melo                     -23.146311       -51.773198           3
mostardas                          -31.101038       -50.920151           3
mucuri                             -18.083937       -39.549984           3
jaboti                             -23.741735       -50.073297           3
muriae                             -21.130470       -42.364581           3
                                   -21.129822       -42.366444           3
                                   -21.127858       -42.378978           3
                                   -21.132524       -42.365623           3
                                   -21.134681       -42.364897           3
jaborandi                          -13.623566       -44.468454           3
                                   -13.625227       -44.466840           3
muzambinho                         -21.374848       -46.525523           3
                                   -21.357617       -46.520958           3
nacip raydan                       -18.454041       -42.250517           3
nanuque                            -17.839128       -40.352688           3
                                   -17.843853       -40.344098           3
teresopolis                        -22.412395       -42.969337           3
                                   -22.438287       -42.978229           3
                                   -22.421006       -42.977146           3
                                   -22.441614       -42.985098           3
mossoro                            -5.188784        -37.350500           3
                                   -5.183545        -37.346206           3
                                   -5.181969        -37.366610           3
morretes                           -25.475440       -48.833254           3
morrinhos                          -3.227913        -40.125406           3
teresopolis                        -22.433702       -42.945325           3
                                   -22.413219       -42.969801           3
                                   -22.417791       -42.974802           3
                                   -22.415047       -42.971375           3
jaboticabal                        -21.257488       -48.320732           3
                                   -21.279575       -48.329418           3
                                   -21.256918       -48.314650           3
teresopolis                        -22.392454       -42.905385           3
                                   -22.408446       -42.967819           3
                                   -22.438036       -42.979305           3
                                   -22.412472       -42.983429           3
                                   -22.441833       -42.979432           3
                                   -22.436224       -42.976449           3
                                   -22.421643       -42.952586           3
                                   -22.383852       -42.979023           3
                                   -22.422960       -42.959392           3
                                   -22.408477       -42.964284           3
                                   -22.409420       -42.967029           3
moreira sales                      -24.041544       -53.004775           3
caseiros                           -28.274428       -51.687234           3
casimiro de abreu                  -22.494095       -42.200310           3
                                   -22.487168       -42.204321           3
teresopolis                        -22.391722       -42.913574           3
montes claros                      -16.726222       -43.879133           3
                                   -16.736252       -43.869384           3
                                   -16.697350       -43.872425           3
                                   -16.756392       -43.870292           3
                                   -16.724772       -43.878439           3
jacarei                            -23.265904       -45.944248           3
                                   -23.306854       -45.983420           3
                                   -23.274682       -45.944973           3
                                   -23.296776       -45.986754           3
                                   -23.289810       -45.963740           3
                                   -23.281634       -45.948816           3
                                   -23.289234       -45.950105           3
teresopolis                        -22.411414       -42.968463           3
                                   -22.421913       -42.975811           3
montividiu                         -17.240034       -51.249522           3
teresopolis                        -22.403254       -43.001980           3
aracaju                            -10.875249       -37.091041           3
                                   -10.967864       -37.054022           3
                                   -10.929479       -37.069720           3
                                   -10.931431       -37.059051           3
                                   -10.941847       -37.071961           3
                                   -10.939011       -37.060793           3
                                   -10.939922       -37.053920           3
                                   -10.939540       -37.062834           3
                                   -10.951864       -37.056493           3
                                   -10.898675       -37.052562           3
cassilandia                        -19.002771       -52.118413           3
castanhal                          -1.290844        -47.926475           3
                                   -1.288230        -47.946012           3
jacarei                            -23.301377       -45.962692           3
                                   -23.299952       -45.957418           3
montes claros                      -16.718419       -43.855862           3
aracaju                            -10.932693       -37.060456           3
                                   -10.996681       -37.060799           3
                                   -10.945091       -37.070559           3
                                   -10.876032       -37.051332           3
                                   -10.950826       -37.058259           3
                                   -10.940527       -37.064994           3
                                   -10.923048       -37.057284           3
                                   -10.935470       -37.056768           3
                                   -10.940022       -37.050940           3
                                   -10.994703       -37.059262           3
montes claros                      -16.741550       -43.853255           3
                                   -16.722012       -43.892288           3
                                   -16.740266       -43.883004           3
aracaju                            -10.920770       -37.049126           3
                                   -10.966028       -37.068945           3
                                   -10.942603       -37.079530           3
santo andre                        -23.650405       -46.533768           3
                                   -23.652229       -46.538573           3
                                   -23.653766       -46.536776           3
                                   -23.637286       -46.544396           3
                                   -23.656569       -46.528824           3
                                   -23.657889       -46.537071           3
                                   -23.673183       -46.526819           3
                                   -23.662473       -46.524453           3
                                   -23.623150       -46.524553           3
                                   -23.630396       -46.506146           3
aracaju                            -10.996190       -37.054790           3
                                   -10.956774       -37.078484           3
                                   -11.005121       -37.093927           3
                                   -10.894215       -37.061760           3
                                   -10.945826       -37.062611           3
                                   -10.969608       -37.085910           3
montes claros                      -16.738503       -43.888410           3
                                   -16.696242       -43.841820           3
aracaju                            -11.098992       -37.145594           3
                                   -10.988968       -37.051722           3
                                   -10.942504       -37.084680           3
                                   -10.937200       -37.056123           3
                                   -10.946036       -37.071676           3
                                   -10.933199       -37.080189           3
                                   -10.923371       -37.045169           3
                                   -10.966523       -37.054930           3
                                   -10.936142       -37.065742           3
                                   -10.927435       -37.044258           3
castilho                           -20.867172       -51.494380           3
castelo                            -20.595234       -41.213317           3
santo andre                        -23.637486       -46.544197           3
                                   -23.652492       -46.561492           3
mongagua                           -24.093367       -46.620126           3
monte carlo                        -27.219326       -50.981605           3
                                   -27.231920       -50.976102           3
monte carmelo                      -18.744290       -47.492364           3
                                   -18.725385       -47.494371           3
monte castelo                      -26.457077       -50.228203           3
terra rica                         -22.721582       -52.614338           3
monte formoso                      -16.866730       -41.252735           3
monte mor                          -22.950340       -47.307313           3
                                   -22.925912       -47.219215           3
monte siao                         -22.419400       -46.562184           3
                                   -22.438234       -46.572425           3
                                   -22.424747       -46.567399           3
montenegro                         -29.685547       -51.461253           3
montes claros                      -16.717109       -43.807142           3
                                   -16.724183       -43.874790           3
santo andre                        -23.638764       -46.498802           3
                                   -23.669865       -46.502179           3
                                   -23.640466       -46.523668           3
                                   -23.638813       -46.526299           3
                                   -23.637443       -46.526466           3
sao miguel do oeste                -26.726585       -53.515559           3
monte alto                         -21.260661       -48.483667           3
monte aprazivel                    -20.779315       -49.702733           3
tibau do sul                       -6.228061        -35.053802           3
aquidauana                         -20.479114       -55.795341           3
teresópolis                        -22.410900       -42.967545           3
monte azul paulista                -20.908239       -48.641385           3
                                   -20.898741       -48.638250           3
mombaca                            -5.744213        -39.628077           3
mondai                             -27.102519       -53.399274           3
mongagua                           -24.118026       -46.673580           3
cataguases                         -21.404628       -42.688857           3
mongagua                           -24.120017       -46.688568           3
mogi-guacu                         -22.335439       -46.949705           3
tijucas                            -27.251769       -48.648424           3
teutonia                           -29.444807       -51.807264           3
                                   -29.471809       -51.808613           3
                                   -29.466775       -51.807256           3
moju                               -1.889855        -48.767324           3
                                   -1.890895        -48.765850           3
mogi-guacu                         -22.339237       -46.935661           3
                                   -22.379373       -46.946155           3
cruzeiro                           -22.565967       -44.945959           3
santo andre                        -23.617522       -46.528096           3
                                   -23.627277       -46.505414           3
                                   -23.631493       -46.522613           3
                                   -23.630777       -46.522870           3
sao miguel do anta                 -20.702862       -42.721252           3
sao miguel do araguaia             -13.277323       -50.174168           3
                                   -13.277891       -50.171831           3
mogi-guacu                         -22.371457       -46.940024           3
                                   -22.363562       -46.934867           3
jacarezinho                        -23.163713       -49.993121           3
jacareí                            -23.275581       -45.947097           3
                                   -23.283579       -45.946316           3
mogi mirim                         -22.426036       -46.963532           3
                                   -22.419098       -46.967317           3
                                   -22.456895       -46.962929           3
tiete                              -23.110386       -47.708810           3
sao miguel dos campos              -9.791392        -36.104949           3
cataguases                         -21.385476       -42.691439           3
                                   -21.388975       -42.692486           3
                                   -21.389064       -42.694240           3
sao mateus do sul                  -25.866950       -50.392467           3
cristais paulista                  -20.407550       -47.421143           3
cristalina                         -16.783498       -47.619043           3
jacobina                           -11.177388       -40.527153           3
mogi das cruzes                    -23.519519       -46.176309           3
                                   -23.521449       -46.176732           3
                                   -23.528317       -46.190460           3
                                   -23.533029       -46.210313           3
                                   -23.497077       -46.185303           3
cristalina                         -16.762111       -47.606013           3
cruz das almas                     -12.676461       -39.098785           3
sao miguel do oeste                -26.726015       -53.522293           3
                                   -26.743987       -53.518615           3
                                   -26.732229       -53.519797           3
sao miguel arcanjo                 -23.880502       -47.998357           3
sao miguel de taipu                -7.249563        -35.211216           3
mogi das cruzes                    -23.523474       -46.147374           3
                                   -23.480916       -46.130681           3
                                   -23.508733       -46.145812           3
                                   -23.550763       -46.178383           3
jaguapita                          -23.106692       -51.533849           3
mogi das cruzes                    -23.530409       -46.196685           3
                                   -23.542444       -46.180505           3
timbo                              -26.824904       -49.275313           3
santo andré                        -23.676993       -46.480963           3
                                   -23.668030       -46.536071           3
                                   -23.670227       -46.505379           3
                                   -23.643454       -46.521486           3
                                   -23.671125       -46.507601           3
                                   -23.681382       -46.525719           3
cristalina                         -16.772637       -47.611098           3
sao mateus do sul                  -25.857270       -50.386518           3
sao luis do paraitinga             -23.217557       -45.306296           3
sao luiz gonzaga                   -28.406751       -54.958362           3
                                   -28.405019       -54.956507           3
                                   -28.405933       -54.965914           3
sao manuel                         -22.729339       -48.569107           3
santo andré                        -23.641710       -46.533094           3
                                   -23.667451       -46.530072           3
                                   -23.699180       -46.524017           3
sao mateus                         -18.723555       -39.852846           3
santo andré                        -23.644439       -46.539885           3
                                   -23.615680       -46.539494           3
                                   -23.692959       -46.504558           3
                                   -23.668799       -46.496862           3
mogi das cruzes                    -23.519373       -46.188794           3
                                   -23.494337       -46.180579           3
                                   -23.546430       -46.198312           3
criciuma                           -28.680339       -49.362551           3
                                   -28.673779       -49.373146           3
timoteo                            -19.550243       -42.634622           3
                                   -19.538513       -42.646967           3
                                   -19.537750       -42.645520           3
mogi das cruzes                    -23.517129       -46.190671           3
                                   -23.520534       -46.168557           3
                                   -23.513336       -46.195508           3
                                   -23.532186       -46.191957           3
                                   -23.670526       -46.228837           3
                                   -23.511663       -46.182192           3
santo angelo                       -28.305374       -54.256252           3
                                   -28.298330       -54.262746           3
                                   -28.276757       -54.268952           3
catalao                            -18.169805       -47.924004           3
                                   -18.165571       -47.958784           3
mogi das cruzes                    -23.520391       -46.190672           3
                                   -23.519745       -46.178659           3
tiradentes do sul                  -27.390072       -54.090018           3
                                   -27.397511       -54.086830           3
tocantinopolis                     -6.318941        -47.434932           3
                                   -6.322828        -47.430826           3
aparecida do taboado               -20.084497       -51.095239           3
apiai                              -24.508362       -48.840209           3
santo antonio da alegria           -21.077913       -47.206214           3
santo antonio da platina           -23.290908       -50.067292           3
criciuma                           -28.682928       -49.355154           3
                                   -28.682516       -49.376641           3
                                   -28.680055       -49.428089           3
                                   -28.682689       -49.364495           3
                                   -28.692420       -49.383706           3
                                   -28.678728       -49.366638           3
tramandai                          -30.047887       -50.160333           3
aperibe                            -21.627097       -42.103704           3
                                   -21.624399       -42.108591           3
tombos                             -20.907147       -42.029475           3
                                   -20.905050       -42.027531           3
aparecida do taboado               -20.092977       -51.102843           3
cravolandia                        -13.360423       -39.812852           3
santo antonio das missoes          -28.507699       -55.227170           3
toledo                             -24.711378       -53.731657           3
                                   -24.723162       -53.736120           3
mogi das cruzes                    -23.495143       -46.172797           3
                                   -23.520614       -46.181369           3
                                   -23.520968       -46.178833           3
                                   -23.532960       -46.195538           3
                                   -23.541683       -46.202621           3
                                   -23.561781       -46.225794           3
santo antonio de jesus             -12.962997       -39.260711           3
                                   -12.972092       -39.265884           3
                                   -12.964038       -39.257672           3
                                   -12.966970       -39.264185           3
                                   -13.020156       -39.291391           3
tres cachoeiras                    -29.450755       -49.916856           3
tremembe                           -22.966798       -45.555825           3
                                   -22.998214       -45.545758           3
                                   -22.995857       -45.541544           3
catanduva                          -21.141035       -49.005502           3
jaguariuna                         -22.699944       -46.981496           3
                                   -22.703152       -46.990917           3
                                   -22.705810       -46.982795           3
                                   -22.701178       -46.986257           3
                                   -22.697541       -46.985042           3
tramandai                          -30.015555       -50.157244           3
tres coracoes                      -21.639015       -45.363060           3
                                   -21.698732       -45.258543           3
tres de maio                       -27.777609       -54.235293           3
tres cachoeiras                    -29.457185       -49.927143           3
                                   -29.454348       -49.916046           3
                                   -29.460724       -49.918539           3
tres marias                        -18.207675       -45.234055           3
                                   -18.198731       -45.220164           3
                                   -18.213156       -45.237816           3
                                   -18.200437       -45.221904           3
santo antonio de padua             -21.539975       -42.180287           3
santo antonio do caiua             -22.739727       -52.347329           3
couto de magalhaes                 -8.377041        -49.142924           3
couto de magalhaes de minas        -18.078921       -43.476186           3
santo antonio de jesus             -12.976895       -39.253084           3
                                   -12.979819       -39.282514           3
jaguariúna                         -22.696927       -46.987862           3
tres rios                          -22.116820       -43.201671           3
                                   -22.109178       -43.202151           3
                                   -22.116009       -43.209357           3
                                   -22.104678       -43.187374           3
tres lagoas                        -20.806031       -51.679512           3
trindade                           -16.653904       -49.501985           3
tres marias                        -18.210911       -45.230135           3
santo antônio da patrulha          -29.859186       -50.561837           3
santo antônio do monte             -20.082161       -45.292631           3
santo cristo                       -27.830349       -54.656720           3
santo inacio                       -22.697509       -51.790197           3
santo antonio do monte             -20.087862       -45.292518           3
                                   -20.091143       -45.284839           3
santo antonio de padua             -21.542557       -42.185411           3
tres coracoes                      -21.698912       -45.255123           3
sao luis                           -2.491464        -44.284203           3
                                   -2.556513        -44.331672           3
santo inacio do piaui              -7.426593        -41.909031           3
mirassol d'oeste                   -15.677281       -58.092747           3
jaguaruna                          -28.618301       -49.025159           3
tres rios                          -22.118683       -43.209408           3
treze de maio                      -28.557178       -49.163217           3
treze tilias                       -26.994371       -51.412021           3
sao luis                           -2.497215        -44.223919           3
                                   -2.537765        -44.288486           3
                                   -2.490111        -44.298130           3
                                   -2.514851        -44.236992           3
                                   -2.501722        -44.313725           3
                                   -2.559465        -44.258600           3
tres rios                          -22.117548       -43.209232           3
jaguariúna                         -22.675046       -46.977239           3
sao luis                           -2.544746        -44.203454           3
                                   -2.524109        -44.234624           3
                                   -2.564566        -44.195802           3
                                   -2.595571        -44.190637           3
                                   -2.569261        -44.311438           3
                                   -2.493631        -44.276285           3
                                   -2.551783        -44.264057           3
                                   -2.493099        -44.231006           3
                                   -2.572329        -44.199514           3
                                   -2.521349        -44.261780           3
                                   -2.496429        -44.291353           3
                                   -2.496039        -44.243014           3
                                   -2.527680        -44.298288           3
                                   -2.505496        -44.317403           3
                                   -2.507563        -44.299181           3
                                   -2.506647        -44.304149           3
catanduvas                         -27.072811       -51.668031           3
catende                            -8.667604        -35.724518           3
sao luis                           -2.517826        -44.254729           3
mirassol                           -20.820957       -49.526402           3
                                   -20.813583       -49.508811           3
                                   -20.806124       -49.510153           3
jaiba                              -15.342297       -43.674599           3
miranorte                          -9.539999        -48.592381           3
mirante da serra                   -11.028445       -62.671081           3
jaguaré                            -18.905472       -40.076793           3
miracema                           -21.413719       -42.197308           3
miradouro                          -20.890452       -42.340112           3
miraguai                           -27.496899       -53.684719           3
mirandopolis                       -21.144960       -51.112471           3
                                   -21.139900       -51.109206           3
sao luis                           -2.517973        -44.228866           3
aparecida de goiania               -16.749985       -49.229216           3
                                   -16.794180       -49.258005           3
mineiros do tiete                  -22.412663       -48.451222           3
miracatu                           -24.284410       -47.453105           3
jales                              -20.283239       -50.544774           3
                                   -20.272623       -50.545379           3
                                   -20.277149       -50.551333           3
milagres                           -12.865945       -39.860997           3
minas novas                        -17.217770       -42.595698           3
mineiros                           -17.560899       -52.555959           3
miguel pereira                     -22.457177       -43.466617           3
mesquita                           -22.791847       -43.414952           3
                                   -22.772668       -43.432006           3
merces                             -21.195072       -43.348880           3
meridiano                          -20.356575       -50.177462           3
catanduvas                         -27.073709       -51.661318           3
aparecida de goiania               -16.764780       -49.234297           3
                                   -16.734836       -49.236835           3
                                   -16.738605       -49.270203           3
tubarao                            -28.482726       -49.007270           3
mesquita                           -22.774635       -43.431942           3
mendes                             -22.527542       -43.715914           3
                                   -22.524841       -43.738491           3
tubarao                            -28.466027       -48.989931           3
                                   -28.481438       -49.002936           3
aparecida                          -22.846280       -45.239202           3
aparecida de goiania               -16.745796       -49.265761           3
                                   -16.813106       -49.255013           3
                                   -16.754301       -49.275340           3
                                   -16.773432       -49.248713           3
                                   -16.740750       -49.259546           3
                                   -16.796285       -49.282150           3
catuipe                            -28.258246       -54.016698           3
jandira                            -23.543786       -46.914547           3
                                   -23.539748       -46.899682           3
                                   -23.531188       -46.898492           3
                                   -23.532587       -46.902179           3
                                   -23.533815       -46.897036           3
                                   -23.552411       -46.900071           3
                                   -23.541783       -46.915739           3
anápolis                           -16.291462       -48.966336           3
                                   -16.320789       -48.930782           3
tuiuti                             -22.813043       -46.695367           3
medianeira                         -25.283620       -54.087713           3
catu                               -12.359828       -38.365852           3
                                   -12.372363       -38.389057           3
aparecida                          -22.830062       -45.216519           3
aparecida de goiania               -16.759513       -49.221789           3
sao lourenco da serra              -23.858929       -46.948409           3
medianeira                         -25.284587       -54.096398           3
                                   -25.268007       -54.057316           3
medina                             -16.233630       -41.477204           3
mauá                               -23.671743       -46.426465           3
                                   -23.675085       -46.471960           3
maurilandia                        -18.026175       -50.346192           3
                                   -17.964233       -50.339722           3
mauá                               -23.673666       -46.471649           3
turmalina                          -17.285382       -42.727826           3
                                   -17.289210       -42.710559           3
tupa                               -21.930893       -50.515908           3
tupaciguara                        -18.592357       -48.701865           3
maua                               -23.673240       -46.451690           3
sao lourenco do oeste              -26.355580       -52.838447           3
sao ludgero                        -28.331690       -49.184508           3
maua                               -23.669929       -46.454609           3
                                   -23.673366       -46.463703           3
                                   -23.670811       -46.474206           3
